기준연도,시군명,연령대,성별,결제건수,결제금액,결제취소건수,결제취소금액,1회평균결제금액,총인구,총인구_남,총인구_여,내국인_세대수,내국인_총인구,내국인_남,내국인_여,등록외국인_총인구,등록외국인_남,등록외국인_여
2022,광명시,60대,여,266231,494520.5847,1741.0,6163.3372,1.8575,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,70대,남,47483,79506.9567,304.0,1089.964,1.6744,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,70대,여,64622,117617.7869,398.0,1474.5826,1.8201,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,80대 이상,남,6693,11379.0668,33.0,85.749,1.7001,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2022,광명시,80대 이상,여,8826,16563.7943,85.0,370.7736,1.8767,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2021,광명시,10대,남,87776,146683.8268,417.0,1701.8774,1.6711,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2021,광명시,10대,여,80636,145319.2003,524.0,1815.0321,1.8022,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2021,광명시,20대,남,376022,563699.4428,2165.0,7919.6776,1.4991,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2021,광명시,20대,여,371855,650033.6934,2639.0,8263.3241,1.7481,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
2021,광명시,30대,남,384187,882450.4695,3358.0,21430.3215,2.2969,281279.0,137845.0,143434.0,114769.0,278458.0,136464.0,141994.0,2821.0,1381.0,1440.0
